service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S984J126,0,0,0,0,0,0,0,20180910,20181021
S985J112,0,0,0,0,0,0,0,20180910,20181021
S986J12,0,0,0,0,0,0,0,20180910,20181021
S987J126,0,0,0,0,0,0,0,20180910,20181021
S988J2,0,0,0,0,0,0,0,20180910,20181021
S989J127,0,0,0,0,0,0,0,20180910,20181021
S990J127,0,0,0,0,0,0,0,20180910,20181021
S991J127,0,0,0,0,0,0,0,20180910,20181021
S992J127,0,0,0,0,0,0,0,20180910,20181021
